compound,ra,rb,fe,bg,a,b,c,shape
NpIrO3,0.98,0.63,-1.806,0.0,3.997,3.997,3.997,cubic
LuDyO3,1.03,0.91,-2.753,0.591,4.248,4.248,4.248,cubic
PdInO3,0.76,0.8,-0.175,0.0,4.109,4.109,4.109,cubic
NdTeO3,1.35,0.97,-1.602,0.0,4.258,4.258,4.258,cubic
BSbO3,0.27,0.6,-0.284,0.0,3.906,3.906,3.906,cubic
VPtO3,0.72,0.67,-0.467,0.0,3.946,3.946,3.946,cubic
YTaO3,1.08,0.64,-2.696,0.0,4.005,4.005,4.005,cubic
ErKO3,1.06,1.38,-0.661,0.0,4.145,4.145,4.145,cubic
FeIrO3,0.92,0.63,-0.426,0.0,3.828,3.828,3.828,cubic
TbNpO3,1.1,0.86,-2.471,0.0,4.411,4.411,4.411,cubic
MnAuO3,0.96,0.93,-0.323,0.0,4.012,4.012,4.012,cubic
RhInO3,0.67,0.8,-0.154,0.0,4.108,4.108,4.108,cubic
ReScO3,0.57,0.75,-1.013,0.0,3.984,3.984,3.984,cubic
ThSmO3,1.21,1.22,-2.675,0.0,4.399,4.399,4.399,cubic
TaErO3,0.74,0.89,-1.398,0.0,4.188,4.188,4.188,cubic
SiOsO3,0.4,0.57,-0.537,0.0,3.893,3.893,3.893,cubic
RuHfO3,0.68,0.71,-1.737,0.0,4.058,4.058,4.058,cubic
SiLaO3,0.4,1.03,-1.177,0.0,4.452,4.452,4.452,cubic
TeTmO3,0.77,0.96,-1.622,0.0,4.252,4.252,4.252,cubic
KGaO3,1.64,0.62,-1.227,0.0,3.946,3.946,3.946,cubic
TcAsO3,0.6,0.52,-0.427,0.0,3.884,3.884,3.884,cubic
LuGdO3,1.03,0.94,-2.635,0.417,4.305,4.305,4.305,cubic
ScOsO3,0.87,0.57,-1.404,0.0,3.892,3.892,3.892,cubic
TbCdO3,0.88,0.95,-1.494,0.0,4.091,4.091,4.091,cubic
NdWO3,1.35,0.66,-2.336,0.0,3.988,3.988,3.988,cubic
AuPbO3,0.93,0.99,-0.045,0.0,4.253,4.253,4.253,cubic
TmNpO3,1.05,0.86,-2.494,0.0,4.403,4.403,4.403,cubic
AuRhO3,0.93,0.61,-0.081,0.0,3.916,3.916,3.916,cubic
TeSbO3,0.97,0.6,-0.691,0.0,4.128,4.128,4.128,cubic
AsPdO3,0.58,0.62,-0.095,0.0,3.924,3.924,3.924,cubic
NbErO3,0.72,0.89,-1.634,0.0,4.2,4.2,4.2,cubic
SiCdO3,0.4,0.95,0.064,0.0,4.07,4.07,4.07,cubic
VMnO3,0.79,0.53,-1.521,0.0,3.746,3.746,3.746,cubic
BYO3,0.27,0.9,-0.431,0.0,4.346,4.346,4.346,cubic
AlPtO3,0.54,0.67,-0.417,0.0,3.945,3.945,3.945,cubic
LaGdO3,1.36,0.94,-3.149,1.561,4.351,4.351,4.351,cubic
SiAsO3,0.4,0.52,-0.716,0.0,3.845,3.845,3.845,cubic
CrGaO3,0.57,0.62,-1.319,0.0,3.788,3.788,3.788,cubic
MoHgO3,0.65,1.02,0.539,0.0,4.146,4.146,4.146,cubic
GaInO3,0.62,0.8,-0.658,0.0,4.098,4.098,4.098,cubic
Ru2O3,0.62,0.62,-0.194,0.0,3.867,3.867,3.867,cubic
VNiO3,0.79,0.48,-0.965,0.0,3.639,3.639,3.639,cubic
TcAuO3,0.6,0.93,0.439,0.0,4.047,4.047,4.047,cubic
GeScO3,0.63,0.75,-1.811,0.0,4.043,4.043,4.043,cubic
MgKO3,0.89,1.38,0.264,0.0,4.178,4.178,4.178,cubic
CaGdO3,1.34,0.94,-2.638,0.0,4.334,4.334,4.334,cubic
BPrO3,0.27,0.85,-0.294,0.0,4.45,4.45,4.45,cubic
SiYO3,0.4,0.9,-1.338,0.0,4.287,4.287,4.287,cubic
GeZrO3,0.73,0.72,-2.235,1.703,4.125,4.125,4.125,cubic
CaSmO3,1.34,0.96,-2.543,0.0,4.384,4.384,4.384,cubic
CsCaO3,1.88,1.0,-1.155,0.0,4.535,4.535,4.535,cubic
Bi2O3,1.38,0.9,-0.814,0.0,4.347,4.347,4.347,cubic
RhCoO3,0.67,0.61,-0.195,0.0,3.682,3.682,3.682,cubic
GaAsO3,0.62,0.46,-0.972,0.0,3.793,3.793,3.793,cubic
TmMgO3,1.05,0.72,-2.551,0.0,3.782,3.782,3.782,cubic
TaTcO3,0.74,0.6,-0.606,0.0,3.884,3.884,3.884,cubic
CoHgO3,0.9,1.11,0.35,0.0,4.11,4.11,4.11,cubic
NiAsO3,0.69,0.46,-0.43,0.0,3.714,3.714,3.714,cubic
KTcO3,1.64,0.6,-1.832,0.0,3.904,3.904,3.904,cubic
GaMoO3,0.62,0.61,-1.725,0.0,3.934,3.934,3.934,cubic
MoAuO3,0.73,0.93,0.418,0.0,4.05,4.05,4.05,cubic
TePtO3,0.77,0.67,-0.152,0.0,4.031,4.031,4.031,cubic
TaWO3,0.74,0.62,-0.874,0.0,3.933,3.933,3.933,cubic
AgNaO3,1.28,1.02,0.624,0.0,4.03,4.03,4.03,cubic
PaNiO3,0.95,0.59,-1.822,0.0,3.8,3.8,3.8,cubic
CoGeO3,0.9,0.53,-1.14,0.867,3.69,3.69,3.69,cubic
AuCuO3,0.93,0.68,0.208,0.0,3.762,3.762,3.762,cubic
YIrO3,1.08,0.57,-1.644,0.0,3.954,3.954,3.954,cubic
BTcO3,0.27,0.6,-0.377,0.0,3.83,3.83,3.83,cubic
TbPbO3,1.1,0.78,-1.39,0.0,4.257,4.257,4.257,cubic
NiPdO3,0.69,0.62,0.049,0.0,3.892,3.892,3.892,cubic
WPrO3,0.66,0.99,-0.405,0.0,4.468,4.468,4.468,cubic
PaPrO3,0.95,0.92,-1.888,0.0,4.499,4.499,4.499,cubic
ThErO3,1.21,0.89,-3.03,0.0,4.244,4.244,4.244,cubic
SbScO3,0.76,0.75,-2.084,0.834,4.024,4.024,4.024,cubic
OsDyO3,0.57,0.99,-0.568,0.0,4.274,4.274,4.274,cubic
MnInO3,0.96,0.8,-1.008,0.0,4.083,4.083,4.083,cubic
SiErO3,0.4,0.89,-1.435,0.0,4.235,4.235,4.235,cubic
InLiO3,0.92,0.76,-0.662,0.0,3.617,3.617,3.617,cubic
AsPmO3,0.52,0.97,-1.077,0.0,4.416,4.416,4.416,cubic
MgRuO3,0.89,0.62,-1.29,0.0,3.873,3.873,3.873,cubic
BiNdO3,1.38,0.98,-1.671,0.0,4.491,4.491,4.491,cubic
SbNpO3,0.68,0.86,-1.832,0.0,4.405,4.405,4.405,cubic
SnCeO3,0.81,0.87,-1.64,0.0,4.522,4.522,4.522,cubic
PtZnO3,0.67,0.74,0.158,0.0,3.831,3.831,3.831,cubic
UWO3,1.03,0.66,-2.213,0.0,4.003,4.003,4.003,cubic
AuPmO3,0.93,0.97,-0.92,0.0,4.428,4.428,4.428,cubic
TbHoO3,0.88,0.9,-2.854,1.749,4.239,4.239,4.239,cubic
SmBiO3,1.24,0.9,-1.648,0.0,4.367,4.367,4.367,cubic
SnAuO3,0.81,0.93,-0.361,0.0,4.091,4.091,4.091,cubic
BYbO3,0.27,0.95,0.286,0.0,4.182,4.182,4.182,cubic
MoNiO3,0.65,0.69,-0.471,0.0,3.677,3.677,3.677,cubic
AsRuO3,0.58,0.62,-0.462,0.0,3.885,3.885,3.885,cubic
AuPrO3,0.93,0.92,-0.841,0.0,4.45,4.45,4.45,cubic
OsSbO3,0.57,0.68,0.12,0.0,4.041,4.041,4.041,cubic
NiMnO3,0.69,0.53,-0.583,0.0,3.625,3.625,3.625,cubic
BeZnO3,0.45,0.74,-0.152,0.0,3.717,3.717,3.717,cubic
RePaO3,0.57,0.91,-1.082,0.0,4.398,4.398,4.398,cubic
SmHgO3,1.24,1.11,-1.299,0.0,4.201,4.201,4.201,cubic
NaBaO3,1.39,1.35,-0.871,0.0,4.568,4.568,4.568,cubic
DyThO3,1.19,0.94,-2.775,0.0,4.552,4.552,4.552,cubic
ScZnO3,0.87,0.74,-1.74,0.0,3.755,3.755,3.755,cubic
CsAgO3,1.88,0.95,-0.198,0.0,4.217,4.217,4.217,cubic
MoErO3,0.69,0.89,-1.279,0.0,4.224,4.224,4.224,cubic
InCeO3,0.92,0.94,-1.494,0.0,4.528,4.528,4.528,cubic
BiGdO3,1.38,0.94,-1.912,0.0,4.366,4.366,4.366,cubic
CdCaO3,1.31,1.0,-0.816,0.0,4.207,4.207,4.207,cubic
AgCsO3,1.28,1.67,0.539,0.0,4.362,4.362,4.362,cubic
TbLuO3,1.1,0.86,-3.044,2.003,4.149,4.149,4.149,cubic
InRhO3,0.92,0.61,-0.802,0.0,3.945,3.945,3.945,cubic
ErInO3,1.06,0.8,-2.095,1.406,4.083,4.083,4.083,cubic
SrBO3,1.44,0.27,-1.702,0.0,3.568,3.568,3.568,cubic
BaZnO3,1.61,0.74,-1.664,0.0,4.039,4.039,4.039,cubic
InSiO3,0.92,0.4,-1.906,0.0,3.635,3.635,3.635,cubic
TcScO3,0.6,0.75,-1.409,0.0,4.0,4.0,4.0,cubic
VOsO3,0.72,0.57,-0.874,0.0,3.871,3.871,3.871,cubic
CrVO3,0.8,0.58,-1.913,0.0,3.754,3.754,3.754,cubic
YPmO3,1.08,0.97,-2.591,1.032,4.413,4.413,4.413,cubic
SnInO3,0.81,0.8,-1.037,0.0,4.142,4.142,4.142,cubic
ScCdO3,0.87,0.95,-1.13,0.0,4.063,4.063,4.063,cubic
OsWO3,0.57,0.63,-0.429,0.0,3.926,3.926,3.926,cubic
TcMnO3,0.6,0.62,-0.791,0.0,3.797,3.797,3.797,cubic
CeGdO3,1.34,0.94,-3.055,1.632,4.35,4.35,4.35,cubic
DyGeO3,1.19,0.53,-2.216,0.0,3.868,3.868,3.868,cubic
BaAsO3,1.61,0.52,-2.06,0.0,4.041,4.041,4.041,cubic
CsDyO3,1.88,0.99,-2.108,0.0,4.523,4.523,4.523,cubic
HoScO3,1.12,0.75,-3.293,2.543,3.98,3.98,3.98,cubic
IrAgO3,0.68,0.75,0.947,0.0,3.99,3.99,3.99,cubic
SbLiO3,0.6,0.76,-0.675,0.0,3.627,3.627,3.627,cubic
GdNbO3,1.11,0.72,-2.654,0.0,4.028,4.028,4.028,cubic
GaMnO3,0.62,0.62,-1.208,0.0,3.745,3.745,3.745,cubic
UBO3,1.17,0.27,-2.116,0.0,3.585,3.585,3.585,cubic
PaPtO3,0.95,0.67,-0.96,0.0,4.061,4.061,4.061,cubic
NdNaO3,1.27,1.02,-1.581,0.0,3.98,3.98,3.98,cubic
VZrO3,0.79,0.72,-2.328,0.0,4.104,4.104,4.104,cubic
YLuO3,1.08,0.86,-3.151,2.052,4.154,4.154,4.154,cubic
CrHfO3,0.8,0.71,-2.54,0.0,4.057,4.057,4.057,cubic
TeAuO3,0.77,0.93,0.136,0.0,4.106,4.106,4.106,cubic
RbAcO3,1.72,1.12,-2.058,0.0,4.577,4.577,4.577,cubic
CeSmO3,1.34,0.96,-2.913,1.261,4.415,4.415,4.415,cubic
CaBO3,1.34,0.27,-1.873,0.0,3.442,3.442,3.442,cubic
CsPuO3,1.88,0.83,-2.492,0.0,4.447,4.447,4.447,cubic
PdBO3,0.76,0.27,-0.392,0.0,3.394,3.394,3.394,cubic
LaYbO3,1.36,0.87,-2.702,0.0,4.155,4.155,4.155,cubic
BePdO3,0.45,0.62,0.094,0.0,3.856,3.856,3.856,cubic
TlReO3,1.7,0.58,-1.397,0.0,3.973,3.973,3.973,cubic
TeThO3,0.77,0.94,-1.976,0.0,4.571,4.571,4.571,cubic
PdIrO3,0.86,0.63,-0.197,0.0,3.877,3.877,3.877,cubic
NiMoO3,0.69,0.65,-1.063,0.0,3.852,3.852,3.852,cubic
URuO3,1.03,0.68,-1.941,0.0,3.962,3.962,3.962,cubic
MoTmO3,0.69,0.88,-1.335,0.0,4.196,4.196,4.196,cubic
ULuO3,1.03,0.86,-3.039,0.0,4.181,4.181,4.181,cubic
ZnThO3,0.9,0.94,-2.064,0.0,4.513,4.513,4.513,cubic
PaNbO3,0.95,0.68,-1.98,0.0,4.064,4.064,4.064,cubic
OsGeO3,0.57,0.63,-0.135,0.0,3.766,3.766,3.766,cubic
YGdO3,1.08,0.94,-2.798,1.371,4.317,4.317,4.317,cubic
SmLuO3,1.24,0.86,-3.26,1.986,4.166,4.166,4.166,cubic
AlReO3,0.54,0.63,-1.244,0.0,3.912,3.912,3.912,cubic
PaYbO3,0.95,0.95,-0.951,0.341,5.016,5.016,5.016,cubic
IrTaO3,0.68,0.72,-1.213,0.0,3.966,3.966,3.966,cubic
BCdO3,0.27,0.95,1.069,0.0,4.096,4.096,4.096,cubic
PtMoO3,0.67,0.62,-0.859,0.0,3.908,3.908,3.908,cubic
YUO3,1.08,0.76,-2.59,0.0,4.374,4.374,4.374,cubic
SiPaO3,0.4,0.91,-1.799,0.0,4.363,4.363,4.363,cubic
MgTeO3,0.89,0.97,-1.178,0.0,4.152,4.152,4.152,cubic
YbRbO3,1.04,1.52,-0.485,0.0,4.259,4.259,4.259,cubic
TeDyO3,0.77,0.99,-1.503,0.0,4.325,4.325,4.325,cubic
AcNpO3,1.12,0.86,-3.018,0.0,4.497,4.497,4.497,cubic
CoNbO3,0.9,0.64,-1.719,0.0,3.977,3.977,3.977,cubic
TeRuO3,0.97,0.57,-0.524,0.0,3.947,3.947,3.947,cubic
TcReO3,0.6,0.57,-0.612,0.0,3.914,3.914,3.914,cubic
TiYO3,0.74,0.9,-1.818,0.0,4.255,4.255,4.255,cubic
LuZrO3,1.03,0.72,-2.834,0.0,4.121,4.121,4.121,cubic
ZnScO3,0.9,0.75,-1.679,0.0,4.011,4.011,4.011,cubic
HoNpO3,1.12,0.86,-2.547,0.0,4.401,4.401,4.401,cubic
GaDyO3,0.62,0.99,-1.623,0.0,4.355,4.355,4.355,cubic
CuInO3,0.68,0.8,-0.28,0.0,4.105,4.105,4.105,cubic
OsPmO3,0.57,0.97,-0.326,0.0,4.403,4.403,4.403,cubic
NaPrO3,1.39,0.92,-1.821,0.0,4.55,4.55,4.55,cubic
TeLuO3,0.77,0.86,-1.68,0.0,4.21,4.21,4.21,cubic
InCuO3,0.92,0.54,-0.724,0.0,3.732,3.732,3.732,cubic
BeBO3,0.45,0.27,-0.834,0.0,3.235,3.235,3.235,cubic
TiFeO3,0.86,0.59,-1.429,0.0,3.739,3.739,3.739,cubic
BeRhO3,0.45,0.6,-0.191,0.0,3.832,3.832,3.832,cubic
PdSmO3,0.76,0.96,-1.01,0.0,4.398,4.398,4.398,cubic
TmPaO3,1.05,0.91,-2.319,0.0,4.461,4.461,4.461,cubic
NiIrO3,0.69,0.63,-0.19,0.0,3.809,3.809,3.809,cubic
TeVO3,0.97,0.58,-1.322,0.0,3.897,3.897,3.897,cubic
W2O3,0.66,0.66,-0.532,0.0,3.946,3.946,3.946,cubic
NaCeO3,1.39,0.94,-1.784,0.0,4.584,4.584,4.584,cubic
HgMoO3,1.19,0.61,-1.403,0.0,3.961,3.961,3.961,cubic
Zn2O3,0.9,0.74,-0.443,0.0,3.779,3.779,3.779,cubic
PtAuO3,0.67,0.93,0.766,0.0,4.04,4.04,4.04,cubic
RuRhO3,0.68,0.6,0.036,0.0,3.879,3.879,3.879,cubic
SbErO3,0.68,0.89,-1.864,0.0,4.256,4.256,4.256,cubic
AuZrO3,0.93,0.72,-1.681,0.0,4.151,4.151,4.151,cubic
MgInO3,0.89,0.8,-1.187,0.0,4.073,4.073,4.073,cubic
AgHgO3,1.28,1.11,0.409,0.0,4.156,4.156,4.156,cubic
PaVO3,0.95,0.64,-2.264,0.0,3.927,3.927,3.927,cubic
AlOsO3,0.54,0.57,-0.857,0.0,3.896,3.896,3.896,cubic
Pr2O3,1.18,0.99,-2.652,0.91,4.51,4.51,4.51,cubic
GdAcO3,1.11,1.12,-2.225,0.0,4.663,4.663,4.663,cubic
BRbO3,0.27,1.52,1.836,0.0,4.323,4.323,4.323,cubic
AsNpO3,0.52,0.86,-1.576,0.0,4.356,4.356,4.356,cubic
HgGdO3,1.14,0.94,-1.402,0.0,4.373,4.373,4.373,cubic
RuGeO3,0.68,0.53,-0.637,0.0,3.745,3.745,3.745,cubic
MoDyO3,0.65,1.07,-1.191,0.0,4.27,4.27,4.27,cubic
PuNdO3,0.96,0.98,-2.541,0.0,4.453,4.453,4.453,cubic
GdRuO3,1.11,0.62,-1.957,0.0,3.918,3.918,3.918,cubic
SnPmO3,0.81,0.97,-1.778,0.0,4.437,4.437,4.437,cubic
YTmO3,1.08,0.88,-3.07,1.869,4.192,4.192,4.192,cubic
OsTmO3,0.57,0.96,-0.697,0.0,4.207,4.207,4.207,cubic
SnCdO3,0.81,0.95,-0.502,0.0,4.126,4.126,4.126,cubic
UBiO3,1.03,1.03,-1.527,0.0,4.346,4.346,4.346,cubic
BNdO3,0.27,0.98,-0.297,0.0,4.429,4.429,4.429,cubic
TlPmO3,1.7,0.97,-1.624,0.0,4.516,4.516,4.516,cubic
DyPmO3,1.08,0.97,-2.578,0.692,4.407,4.407,4.407,cubic
GdCeO3,1.11,1.01,-2.371,0.432,4.537,4.537,4.537,cubic
TbWO3,1.1,0.62,-2.094,0.0,3.961,3.961,3.961,cubic
InMgO3,0.92,0.72,-1.274,0.0,3.823,3.823,3.823,cubic
HfCoO3,0.83,0.75,-1.694,0.0,3.644,3.644,3.644,cubic
AuCaO3,0.93,1.0,-0.159,0.0,4.272,4.272,4.272,cubic
UTcO3,1.17,0.6,-2.111,0.0,3.98,3.98,3.98,cubic
SbBO3,0.76,0.27,-1.1,1.554,3.491,3.491,3.491,cubic
GeCuO3,0.63,0.68,-0.4,0.0,3.725,3.725,3.725,cubic
BPbO3,0.27,0.78,0.559,0.0,4.201,4.201,4.201,cubic
NdLaO3,1.27,1.03,-2.638,0.693,4.528,4.528,4.528,cubic
CuErO3,0.68,0.89,-1.258,0.0,4.28,4.28,4.28,cubic
MoBO3,0.69,0.27,-0.828,0.0,3.395,3.395,3.395,cubic
TmTbO3,1.09,0.76,-2.623,0.861,4.278,4.278,4.278,cubic
SnHgO3,0.81,1.11,-0.251,0.0,4.181,4.181,4.181,cubic
TaMoO3,0.74,0.61,-0.874,0.0,3.921,3.921,3.921,cubic
ThHfO3,1.21,0.71,-3.036,0.0,4.107,4.107,4.107,cubic
BHfO3,0.27,0.71,-1.258,0.0,4.079,4.079,4.079,cubic
NbThO3,0.79,0.94,-1.781,0.0,4.534,4.534,4.534,cubic
BaSbO3,1.61,0.68,-2.254,0.0,4.244,4.244,4.244,cubic
TiScO3,0.74,0.75,-2.238,0.0,3.948,3.948,3.948,cubic
BeWO3,0.45,0.66,-1.28,0.0,3.882,3.882,3.882,cubic
SmNdO3,1.24,0.98,-2.622,0.993,4.46,4.46,4.46,cubic
ZnInO3,0.9,0.8,-0.591,0.0,4.072,4.072,4.072,cubic
NbUO3,0.79,0.89,-1.791,0.0,4.324,4.324,4.324,cubic
PdSnO3,0.86,0.69,-0.679,0.0,4.018,4.018,4.018,cubic
DyHfO3,1.19,0.71,-3.131,0.0,4.067,4.067,4.067,cubic
AsPtO3,0.52,0.67,-0.053,0.0,3.956,3.956,3.956,cubic
RhPuO3,0.61,0.83,-1.233,0.0,4.292,4.292,4.292,cubic
HoSnO3,1.12,0.69,-1.982,0.0,4.095,4.095,4.095,cubic
GdZrO3,1.11,0.72,-3.015,0.0,4.125,4.125,4.125,cubic
AuCdO3,0.93,0.95,0.412,0.0,4.115,4.115,4.115,cubic
IrUO3,0.68,1.03,-1.349,0.0,4.298,4.298,4.298,cubic
CeEuO3,1.34,0.95,-2.401,0.0,4.296,4.296,4.296,cubic
IrHgO3,0.63,1.11,1.1,0.0,4.14,4.14,4.14,cubic
ThPaO3,1.21,0.91,-2.285,0.0,4.483,4.483,4.483,cubic
NbSbO3,0.72,0.76,-0.672,0.0,4.093,4.093,4.093,cubic
HfOsO3,0.83,0.57,-0.886,0.0,3.897,3.897,3.897,cubic
MgGeO3,0.89,0.53,-1.882,1.576,3.688,3.688,3.688,cubic
HfDyO3,0.83,1.07,-1.967,0.0,4.235,4.235,4.235,cubic
SbTcO3,0.68,0.6,-0.995,0.0,3.966,3.966,3.966,cubic
TlCdO3,1.7,0.95,-0.285,0.0,4.145,4.145,4.145,cubic
ScFeO3,0.87,0.67,-2.035,0.0,3.777,3.777,3.777,cubic
DyReO3,1.19,0.63,-1.905,0.0,3.943,3.943,3.943,cubic
CdPrO3,1.31,0.85,-1.452,0.0,4.474,4.474,4.474,cubic
InAuO3,0.92,0.93,-0.268,0.0,4.076,4.076,4.076,cubic
AsScO3,0.58,0.75,-1.592,0.0,3.996,3.996,3.996,cubic
YbYO3,1.04,0.9,-2.719,0.0,4.267,4.267,4.267,cubic
RbCrO3,1.72,0.49,-1.509,0.0,3.819,3.819,3.819,cubic
AsZnO3,0.52,0.74,-0.397,0.0,3.786,3.786,3.786,cubic
SmPtO3,1.24,0.67,-1.659,0.0,4.029,4.029,4.029,cubic
OsLaO3,0.57,1.03,-0.277,0.0,4.473,4.473,4.473,cubic
CoTaO3,0.9,0.64,-1.928,0.0,3.951,3.951,3.951,cubic
PmBeO3,1.14,0.45,-2.724,0.0,3.605,3.605,3.605,cubic
PdReO3,0.86,0.63,-0.958,0.0,3.865,3.865,3.865,cubic
BVO3,0.27,0.54,-0.76,0.0,3.716,3.716,3.716,cubic
TbGeO3,1.1,0.53,-2.107,0.0,3.873,3.873,3.873,cubic
OsRbO3,0.57,1.52,1.782,0.0,4.297,4.297,4.297,cubic
AsTmO3,0.58,0.88,-1.424,0.0,4.213,4.213,4.213,cubic
YbSmO3,1.04,0.96,-2.583,0.0,4.35,4.35,4.35,cubic
BeScO3,0.45,0.75,-1.343,0.0,3.981,3.981,3.981,cubic
ZrThO3,0.89,0.94,-2.21,0.0,4.536,4.536,4.536,cubic
AuAgO3,0.93,0.95,0.579,0.0,4.018,4.018,4.018,cubic
TaAsO3,0.74,0.52,-0.383,0.0,3.917,3.917,3.917,cubic
SmPmO3,1.24,0.97,-2.711,1.193,4.42,4.42,4.42,cubic
NaTiO3,1.39,0.71,-2.459,0.0,3.868,3.868,3.868,cubic
CoMnO3,0.9,0.53,-0.915,0.0,3.707,3.707,3.707,cubic
TmRuO3,1.09,0.62,-1.832,0.0,3.899,3.899,3.899,cubic
NdReO3,1.27,0.63,-2.042,0.0,3.975,3.975,3.975,cubic
AlRbO3,0.54,1.52,0.71,0.0,4.296,4.296,4.296,cubic
SiWO3,0.4,0.66,-1.299,0.0,3.928,3.928,3.928,cubic
CaNdO3,1.34,0.98,-2.455,0.0,4.426,4.426,4.426,cubic
ZrHoO3,0.89,0.9,-2.203,0.0,4.219,4.219,4.219,cubic
TbErO3,1.1,0.89,-2.902,1.887,4.214,4.214,4.214,cubic
NbReO3,0.79,0.63,-0.797,0.0,3.915,3.915,3.915,cubic
SiScO3,0.4,0.75,-1.573,0.0,4.027,4.027,4.027,cubic
TbOsO3,1.1,0.57,-1.587,0.0,3.937,3.937,3.937,cubic
RuPuO3,0.62,0.83,-1.218,0.0,4.3,4.3,4.3,cubic
AsLaO3,0.58,1.03,-1.048,0.0,4.472,4.472,4.472,cubic
RhWO3,0.67,0.66,-1.155,0.0,3.9,3.9,3.9,cubic
PdDyO3,0.76,0.91,-1.171,0.0,4.33,4.33,4.33,cubic
AgInO3,1.28,0.8,-0.391,0.0,4.141,4.141,4.141,cubic
PuSmO3,0.96,0.96,-2.357,0.0,4.839,4.839,4.839,cubic
SnPrO3,0.81,0.85,-1.693,0.0,4.486,4.486,4.486,cubic
BSrO3,0.27,1.18,0.66,0.0,4.488,4.488,4.488,cubic
OsKO3,0.57,1.38,1.634,0.0,4.312,4.312,4.312,cubic
GdAsO3,1.11,0.58,-1.959,0.0,4.0,4.0,4.0,cubic
SiUO3,0.4,0.85,-1.992,0.0,4.311,4.311,4.311,cubic
NiPaO3,0.59,0.91,-1.624,0.0,4.34,4.34,4.34,cubic
SnTeO3,0.81,0.97,-1.032,0.0,4.235,4.235,4.235,cubic
Cu2O3,0.68,0.68,0.04,0.0,3.677,3.677,3.677,cubic
OsZrO3,0.57,0.72,-1.07,0.0,4.117,4.117,4.117,cubic
CrMgO3,0.57,0.72,-1.061,0.0,3.799,3.799,3.799,cubic
WTmO3,0.66,0.88,-0.997,0.0,4.176,4.176,4.176,cubic
AuNaO3,0.93,1.02,0.83,0.0,3.995,3.995,3.995,cubic
SnIrO3,0.81,0.63,-0.815,0.0,3.974,3.974,3.974,cubic
ZrMoO3,0.89,0.61,-1.674,0.0,3.927,3.927,3.927,cubic
PdScO3,0.76,0.75,-1.289,0.0,4.022,4.022,4.022,cubic
YbAlO3,1.04,0.54,-3.047,0.0,3.674,3.674,3.674,cubic
SnNpO3,0.81,0.86,-2.186,0.0,4.39,4.39,4.39,cubic
CoLuO3,0.61,0.86,-1.487,0.0,4.164,4.164,4.164,cubic
OsSmO3,0.57,0.96,-0.364,0.0,4.381,4.381,4.381,cubic
LaPbO3,1.36,0.78,-1.856,0.0,4.337,4.337,4.337,cubic
VTiO3,0.79,0.61,-2.344,0.0,3.831,3.831,3.831,cubic
NbNdO3,0.72,0.98,-1.15,0.0,4.433,4.433,4.433,cubic
PtPrO3,0.67,0.92,-0.578,0.0,4.49,4.49,4.49,cubic
FeBO3,0.78,0.27,-1.021,0.0,3.322,3.322,3.322,cubic
NiAuO3,0.59,0.93,0.348,0.0,3.998,3.998,3.998,cubic
TaSbO3,0.74,0.6,-0.34,0.0,4.103,4.103,4.103,cubic
SiMnO3,0.4,0.53,-1.04,0.0,3.739,3.739,3.739,cubic
InDyO3,0.92,0.99,-1.807,0.0,4.304,4.304,4.304,cubic
TbGdO3,1.1,0.94,-2.688,1.489,4.315,4.315,4.315,cubic
AsMgO3,0.52,0.72,-0.852,0.0,3.794,3.794,3.794,cubic
TbInO3,1.1,0.8,-2.046,1.737,4.095,4.095,4.095,cubic
MoYO3,0.69,0.9,-1.168,0.0,4.278,4.278,4.278,cubic
CrRbO3,0.57,1.52,0.555,0.0,4.304,4.304,4.304,cubic
Dy2O3,1.08,0.99,-2.904,1.645,4.26,4.26,4.26,cubic
PdRuO3,0.86,0.62,-0.455,0.0,3.847,3.847,3.847,cubic
TlCaO3,1.7,1.0,-0.845,0.0,4.311,4.311,4.311,cubic
NdCeO3,1.35,0.87,-2.517,0.73,4.549,4.549,4.549,cubic
TaCoO3,0.74,0.53,-0.878,0.0,3.629,3.629,3.629,cubic
NpTbO3,0.98,0.84,-2.953,1.542,4.311,4.311,4.311,cubic
WMgO3,0.66,0.72,-0.859,0.0,3.692,3.692,3.692,cubic
CePrO3,1.34,0.99,-2.697,0.879,4.517,4.517,4.517,cubic
CoScO3,0.61,0.75,-1.568,0.0,4.003,4.003,4.003,cubic
IrSiO3,0.63,0.4,-0.862,0.0,3.594,3.594,3.594,cubic
KAlO3,1.64,0.54,-1.857,0.0,3.812,3.812,3.812,cubic
VAsO3,0.72,0.52,-1.084,0.0,3.821,3.821,3.821,cubic
PtNiO3,0.67,0.59,0.151,0.0,3.701,3.701,3.701,cubic
HgTlO3,1.14,1.2,-0.028,0.0,4.207,4.207,4.207,cubic
MgZnO3,0.89,0.74,-1.062,0.0,3.776,3.776,3.776,cubic
RhPtO3,0.61,0.67,0.257,0.0,3.949,3.949,3.949,cubic
NbDyO3,0.72,0.91,-1.537,0.0,4.249,4.249,4.249,cubic
TbPtO3,1.1,0.67,-1.451,0.0,4.013,4.013,4.013,cubic
OsThO3,0.57,0.94,-0.986,0.0,4.538,4.538,4.538,cubic
PtScO3,0.67,0.75,-1.116,0.0,4.026,4.026,4.026,cubic
PbBeO3,0.94,0.45,-1.23,0.0,3.609,3.609,3.609,cubic
