compound,ra,rb,fe,bg,a,b,c,shape
MoScO3,0.69,0.75,-1.553,0.0,3.97,3.97,3.97,cubic
SiRuO3,0.4,0.62,-0.598,0.0,3.878,3.878,3.878,cubic
LaSmO3,1.36,0.96,-3.007,1.406,4.415,4.415,4.415,cubic
BeCoO3,0.45,0.53,-0.402,0.0,3.594,3.594,3.594,cubic
TiRhO3,0.86,0.6,-0.857,0.0,3.851,3.851,3.851,cubic
RuNiO3,0.68,0.48,-0.048,0.0,3.65,3.65,3.65,cubic
ThDyO3,1.21,1.07,-2.934,0.0,4.282,4.282,4.282,cubic
KEuO3,1.64,1.06,-1.411,0.0,4.52,4.52,4.52,cubic
PmBiO3,1.14,0.9,-1.683,0.0,4.383,4.383,4.383,cubic
SiMoO3,0.4,0.65,-1.243,0.0,3.922,3.922,3.922,cubic
PrCaO3,1.18,1.0,-2.358,0.0,4.163,4.163,4.163,cubic
InAgO3,0.92,0.95,-0.273,0.0,4.028,4.028,4.028,cubic
SbMoO3,0.76,0.69,-1.292,0.0,3.989,3.989,3.989,cubic
WHoO3,0.66,0.9,-0.892,0.0,4.227,4.227,4.227,cubic
AcNaO3,1.12,1.02,-1.826,0.0,4.09,4.09,4.09,cubic
NaGeO3,1.39,0.63,-1.561,0.0,3.733,3.733,3.733,cubic
PtTiO3,0.67,0.71,-1.353,0.0,3.859,3.859,3.859,cubic
PaYO3,0.95,0.9,-2.353,0.0,4.274,4.274,4.274,cubic
NpGdO3,0.98,0.94,-3.028,1.517,4.338,4.338,4.338,cubic
LuTaO3,1.03,0.72,-2.552,0.0,3.998,3.998,3.998,cubic
RhIrO3,0.67,0.57,-0.007,0.0,3.884,3.884,3.884,cubic
SiTlO3,0.4,1.2,0.036,0.0,4.163,4.163,4.163,cubic
SnBO3,0.81,0.27,-1.092,0.0,3.465,3.465,3.465,cubic
LuTeO3,1.03,0.77,-1.294,0.0,4.226,4.226,4.226,cubic
Pm2O3,1.14,0.97,-2.742,1.171,4.421,4.421,4.421,cubic
CoCuO3,0.61,0.54,-0.237,0.0,3.671,3.671,3.671,cubic
NiHfO3,0.69,0.71,-1.744,0.0,4.043,4.043,4.043,cubic
RuIrO3,0.68,0.63,0.074,0.0,3.895,3.895,3.895,cubic
ScNiO3,0.87,0.6,-1.827,0.0,3.644,3.644,3.644,cubic
TeLaO3,0.77,1.03,-1.246,0.0,4.526,4.526,4.526,cubic
TiGeO3,0.86,0.53,-1.551,0.0,3.72,3.72,3.72,cubic
GeTeO3,0.73,0.97,-0.732,0.0,4.166,4.166,4.166,cubic
NpSbO3,0.98,0.68,-1.933,0.0,4.254,4.254,4.254,cubic
SiBO3,0.4,0.27,-0.825,0.0,3.304,3.304,3.304,cubic
WAuO3,0.63,0.93,0.79,0.0,4.054,4.054,4.054,cubic
MnThO3,0.96,0.94,-2.368,0.0,4.533,4.533,4.533,cubic
HoRuO3,1.12,0.62,-1.885,0.0,3.907,3.907,3.907,cubic
BLuO3,0.27,0.86,-0.574,0.0,4.229,4.229,4.229,cubic
GaThO3,0.62,0.94,-2.295,0.0,4.515,4.515,4.515,cubic
SbRuO3,0.76,0.68,-0.758,0.0,3.941,3.941,3.941,cubic
CdErO3,1.31,0.89,-1.789,0.0,4.251,4.251,4.251,cubic
MgBiO3,0.89,0.9,-1.143,0.0,4.245,4.245,4.245,cubic
CoTcO3,0.9,0.6,-0.938,0.0,3.872,3.872,3.872,cubic
ScTcO3,0.87,0.6,-1.791,0.0,3.885,3.885,3.885,cubic
YAsO3,1.08,0.58,-1.911,0.0,3.992,3.992,3.992,cubic
HfBO3,0.83,0.27,-1.859,0.0,3.399,3.399,3.399,cubic
GdHgO3,1.11,1.11,-1.236,0.0,4.191,4.191,4.191,cubic
TbNaO3,1.1,1.02,-1.334,0.0,3.923,3.923,3.923,cubic
PtTlO3,0.67,1.2,0.599,0.0,4.202,4.202,4.202,cubic
InPmO3,0.92,0.97,-1.638,0.0,4.452,4.452,4.452,cubic
MoNdO3,0.69,0.98,-0.868,0.0,4.435,4.435,4.435,cubic
BeInO3,0.45,0.8,-0.243,0.0,4.04,4.04,4.04,cubic
